-0.03,-0.029,0.27,0.283,0.0,0.5
Poly,1stMVP/M1V1M2_CDNS_673327536650#2,15,0,No Data,0,0.04,4,0,-0.029,0.24,-0.029,0.24,0.029,0,0.029
Poly,1stMVP/M1V1M2_CDNS_673327536650#2,17,0,No Data,0.1,0.15,4,0,-0.029,0.24,-0.029,0.24,0.029,0,0.029
Label,1stMVP/HDBLVT04_INV_1#1,15,20,X,0,0,1,0.02,0,0,0,0.08,0.055,,
Label,1stMVP/HDBLVT04_INV_1#1,15,20,A,0,0,1,0.02,0,0,0,0.04,0.199,,
Label,1stMVP/HDBLVT04_INV_1#1,15,20,VDD,0,0,1,0.02,0,0,0,0.03,0.254,,
Label,1stMVP/HDBLVT04_INV_1#1,15,20,VSS,0,0,1,0.02,0,0,0,0.03,0,,
Poly,1stMVP/HDBLVT04_INV_1#1,62,21,No Data,0,0,4,0,0,0.12,0,0.12,0.254,0,0.254
Poly,1stMVP/HDBLVT04_INV_1#1,15,0,No Data,0,0.04,4,0,-0.029,0.12,-0.029,0.12,0.029,0,0.029
Poly,1stMVP/HDBLVT04_INV_1#1,15,0,No Data,0,0.04,4,0.012,0.045,0.108,0.045,0.108,0.065,0.012,0.065
Poly,1stMVP/HDBLVT04_INV_1#1,15,0,No Data,0,0.04,4,0.012,0.189,0.108,0.189,0.108,0.209,0.012,0.209
Poly,1stMVP/HDBLVT04_INV_1#1,15,0,No Data,0,0.04,4,0,0.225,0.12,0.225,0.12,0.283,0,0.283
Poly,1stMVP/HDBLVT04_INV_1#1,15,235,No Data,0,0,4,0.012,0.045,0.108,0.045,0.108,0.065,0.012,0.065
Poly,1stMVP/HDBLVT04_INV_1#1,15,235,No Data,0,0,4,0.012,0.189,0.108,0.189,0.108,0.209,0.012,0.209
Poly,1stMVP/HDBLVT04_INV_1#1,15,236,No Data,0,0,4,0,-0.029,0.12,-0.029,0.12,0.029,0,0.029
Poly,1stMVP/HDBLVT04_INV_1#1,15,236,No Data,0,0,4,0,0.225,0.12,0.225,0.12,0.283,0,0.283
Label,1stMVP/HDBLVT04_INV_1#1,63,63,"& Vendor Synopsys, Inc.",0,0,1,0.001,0,0,0,0,0,,
Label,1stMVP/HDBLVT04_INV_1#1,63,63,& Product sa04npgvlogl04hdl060f,0,0,1,0.001,0,0,0,0,0,,
